compound,structure_identifier,compound_smiles,target,receptor_record_id,sair_protein_id,system,target_source_release,sair_interaction_rows_scanned,isomeric_match_count,nonisomeric_match_count,join_status,interpretation
alpha-pinene,SN0113697-03,CC1=CC[C@@H]2C[C@H]1C2(C)C,HTR1A,protein:CDBP01994,P08908,5-HT1A serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
beta-pinene,SN0419253-02,CC1(C)[C@H]2CCC(=C)[C@@H]1C2,CNR1,protein:CDBP04807,P21554,CB1 cannabinoid receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
beta-pinene,SN0419253-02,CC1(C)[C@H]2CCC(=C)[C@@H]1C2,TRPA1,protein:CDBP04867,O75762,TRPA1 sensory-neural channel,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
beta-pinene,SN0419253-02,CC1(C)[C@H]2CCC(=C)[C@@H]1C2,TRPM8,protein:CDBP01847,Q7Z2W7,TRPM8 sensory channel,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
beta-pinene,SN0419253-02,CC1(C)[C@H]2CCC(=C)[C@@H]1C2,TRPV1,protein:CDBP01848,Q8NER1,TRPV1 sensory channel,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
beta-pinene,SN0419253-02,CC1(C)[C@H]2CCC(=C)[C@@H]1C2,GRIN1,protein:CDBP01515,Q05586,NMDA receptor subunit 1,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
beta-pinene,SN0419253-02,CC1(C)[C@H]2CCC(=C)[C@@H]1C2,SLC6A4,protein:CDBP01822,P31645,serotonin transporter,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,HTR1A,protein:CDBP01994,P08908,5-HT1A serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,HTR2A,protein:CDBP02043,P28223,5-HT2A serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,HTR2C,protein:CDBP02060,P28335,5-HT2C serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,HTR3A,protein:CDBP02156,P46098,5-HT3A serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,HTR7,protein:CDBP01867,P34969,5-HT7 serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,GABRA1,protein:CDBP03412,P14867,GABA-A alpha-1,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,GABRA2,protein:CDBP03413,P47869,GABA-A alpha-2,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,GABRB2,protein:CDBP03419,P47870,GABA-A beta-2,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,GABRG2,protein:CDBP01864,P18507,GABA-A gamma-2,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,DRD1,protein:CDBP04812,P21728,D1 dopamine receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,DRD2,protein:CDBP01576,P14416,D2 dopamine receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,CHRM2,protein:CDBP04814,P08172,muscarinic acetylcholine receptor M2,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,OPRM1,protein:CDBP02036,P35372,mu opioid receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,CNR1,protein:CDBP04807,P21554,CB1 cannabinoid receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,TRPA1,protein:CDBP04867,O75762,TRPA1 sensory-neural channel,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,TRPM8,protein:CDBP01847,Q7Z2W7,TRPM8 sensory channel,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,TRPV1,protein:CDBP01848,Q8NER1,TRPV1 sensory channel,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,GRIN1,protein:CDBP01515,Q05586,NMDA receptor subunit 1,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-01,CC(=C)[C@@H]1CCC(=CC1)C,SLC6A4,protein:CDBP01822,P31645,serotonin transporter,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,HTR1A,protein:CDBP01994,P08908,5-HT1A serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,HTR2A,protein:CDBP02043,P28223,5-HT2A serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,HTR2C,protein:CDBP02060,P28335,5-HT2C serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,HTR3A,protein:CDBP02156,P46098,5-HT3A serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,HTR7,protein:CDBP01867,P34969,5-HT7 serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,GABRA1,protein:CDBP03412,P14867,GABA-A alpha-1,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,GABRA2,protein:CDBP03413,P47869,GABA-A alpha-2,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,GABRB2,protein:CDBP03419,P47870,GABA-A beta-2,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,GABRG2,protein:CDBP01864,P18507,GABA-A gamma-2,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,DRD1,protein:CDBP04812,P21728,D1 dopamine receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,DRD2,protein:CDBP01576,P14416,D2 dopamine receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,CHRM2,protein:CDBP04814,P08172,muscarinic acetylcholine receptor M2,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,OPRM1,protein:CDBP02036,P35372,mu opioid receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,CNR1,protein:CDBP04807,P21554,CB1 cannabinoid receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,TRPA1,protein:CDBP04867,O75762,TRPA1 sensory-neural channel,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,TRPM8,protein:CDBP01847,Q7Z2W7,TRPM8 sensory channel,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,TRPV1,protein:CDBP01848,Q8NER1,TRPV1 sensory channel,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,GRIN1,protein:CDBP01515,Q05586,NMDA receptor subunit 1,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
limonene,SN0434098-02,CC(=C)[C@H]1CCC(=CC1)C,SLC6A4,protein:CDBP01822,P31645,serotonin transporter,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,HTR1A,protein:CDBP01994,P08908,5-HT1A serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,HTR2A,protein:CDBP02043,P28223,5-HT2A serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,HTR2C,protein:CDBP02060,P28335,5-HT2C serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,HTR3A,protein:CDBP02156,P46098,5-HT3A serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,HTR7,protein:CDBP01867,P34969,5-HT7 serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,GABRA1,protein:CDBP03412,P14867,GABA-A alpha-1,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,GABRA2,protein:CDBP03413,P47869,GABA-A alpha-2,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,GABRB2,protein:CDBP03419,P47870,GABA-A beta-2,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,GABRG2,protein:CDBP01864,P18507,GABA-A gamma-2,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,DRD1,protein:CDBP04812,P21728,D1 dopamine receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,DRD2,protein:CDBP01576,P14416,D2 dopamine receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,CHRM2,protein:CDBP04814,P08172,muscarinic acetylcholine receptor M2,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,OPRM1,protein:CDBP02036,P35372,mu opioid receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,CNR1,protein:CDBP04807,P21554,CB1 cannabinoid receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,TRPA1,protein:CDBP04867,O75762,TRPA1 sensory-neural channel,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,TRPM8,protein:CDBP01847,Q7Z2W7,TRPM8 sensory channel,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,TRPV1,protein:CDBP01848,Q8NER1,TRPV1 sensory channel,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,GRIN1,protein:CDBP01515,Q05586,NMDA receptor subunit 1,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-01,CC(C)=CCC[C@@](C)(O)C=C,SLC6A4,protein:CDBP01822,P31645,serotonin transporter,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-02,CC(C)=CCC[C@](C)(O)C=C,HTR1A,protein:CDBP01994,P08908,5-HT1A serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-02,CC(C)=CCC[C@](C)(O)C=C,HTR2A,protein:CDBP02043,P28223,5-HT2A serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-02,CC(C)=CCC[C@](C)(O)C=C,HTR2C,protein:CDBP02060,P28335,5-HT2C serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-02,CC(C)=CCC[C@](C)(O)C=C,HTR3A,protein:CDBP02156,P46098,5-HT3A serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-02,CC(C)=CCC[C@](C)(O)C=C,HTR7,protein:CDBP01867,P34969,5-HT7 serotonin receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-02,CC(C)=CCC[C@](C)(O)C=C,GABRA1,protein:CDBP03412,P14867,GABA-A alpha-1,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-02,CC(C)=CCC[C@](C)(O)C=C,GABRA2,protein:CDBP03413,P47869,GABA-A alpha-2,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-02,CC(C)=CCC[C@](C)(O)C=C,GABRB2,protein:CDBP03419,P47870,GABA-A beta-2,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-02,CC(C)=CCC[C@](C)(O)C=C,GABRG2,protein:CDBP01864,P18507,GABA-A gamma-2,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-02,CC(C)=CCC[C@](C)(O)C=C,DRD1,protein:CDBP04812,P21728,D1 dopamine receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-02,CC(C)=CCC[C@](C)(O)C=C,DRD2,protein:CDBP01576,P14416,D2 dopamine receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-02,CC(C)=CCC[C@](C)(O)C=C,CHRM2,protein:CDBP04814,P08172,muscarinic acetylcholine receptor M2,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-02,CC(C)=CCC[C@](C)(O)C=C,OPRM1,protein:CDBP02036,P35372,mu opioid receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-02,CC(C)=CCC[C@](C)(O)C=C,CNR1,protein:CDBP04807,P21554,CB1 cannabinoid receptor,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-02,CC(C)=CCC[C@](C)(O)C=C,TRPA1,protein:CDBP04867,O75762,TRPA1 sensory-neural channel,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-02,CC(C)=CCC[C@](C)(O)C=C,TRPM8,protein:CDBP01847,Q7Z2W7,TRPM8 sensory channel,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-02,CC(C)=CCC[C@](C)(O)C=C,TRPV1,protein:CDBP01848,Q8NER1,TRPV1 sensory channel,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
linalool,SN0042830-02,CC(C)=CCC[C@](C)(O)C=C,GRIN1,protein:CDBP01515,Q05586,NMDA receptor subunit 1,1.0-a7d05067088ee5b8,1489,0,0,no_join_found,No structure join in supplied SAIR projection; not biological absence
